u,v,length,elevation_gain,elevation_loss,slope_percent,grade_abs,highway,geometry
1829603282,9239461445,57.60900379520336,0.9999999999999999,0.0,1.7358397717741163,0.017358397717741163,residential,"LINESTRING (76.9874533 11.0751647, 76.9873871 11.0756787)"
1829603282,5665235269,90.70442389254984,0.0,1.0,-1.1024820588515272,0.011024820588515272,residential,"LINESTRING (76.9874533 11.0751647, 76.9875806 11.0743586)"
1829603282,1829603486,358.4503231711054,0.0,1.0,-0.2789786855688375,0.002789786855688375,residential,"LINESTRING (76.9874533 11.0751647, 76.9894703 11.0754385, 76.9907095 11.0755885)"
1829603288,1829603378,209.11930963444888,1.9999999999999998,0.0,0.9563918336838912,0.009563918336838912,residential,"LINESTRING (76.9904984 11.0782233, 76.9885995 11.07797)"
1829603288,1829603338,124.27652225034431,0.0,2.0,-1.609314425432,0.01609314425432,residential,"LINESTRING (76.9904984 11.0782233, 76.9906305 11.0771132)"
1829603288,1829603297,55.763005350963205,1.0,0.0,1.7933036315136965,0.017933036315136965,residential,"LINESTRING (76.9904984 11.0782233, 76.9904391 11.0787214)"
1829603291,1829603400,146.81075002297135,8.0,0.0,5.449192241541064,0.054491922415410635,residential,"LINESTRING (76.9872193 11.0769841, 76.9870524 11.0782942)"
1829603291,1829603397,89.52829481059203,0.0,3.0,-3.350895944513256,0.03350895944513256,residential,"LINESTRING (76.9872193 11.0769841, 76.988034 11.0770791)"
1829603291,1829603480,125.4680790736929,0.0,1.0,-0.7970154698970534,0.007970154698970534,residential,"LINESTRING (76.9872193 11.0769841, 76.9872697 11.0765885, 76.9873631 11.0758646)"
1829603297,1829603288,55.763005350963205,0.0,1.0,-1.7933036315136965,0.017933036315136965,residential,"LINESTRING (76.9904391 11.0787214, 76.9904984 11.0782233)"
1829603297,1829603484,103.76530828686032,2.0,0.0,1.927426452076814,0.01927426452076814,residential,"LINESTRING (76.9904391 11.0787214, 76.990385 11.0791762, 76.9903171 11.0796468)"
1829603297,12760154365,102.07779428042498,3.0,0.0,2.9389349771395845,0.029389349771395845,residential,"LINESTRING (76.9904391 11.0787214, 76.9895603 11.0785943, 76.9895135 11.0785887)"
1829603301,1829603400,163.11520172023847,5.0,0.0,3.065318221275035,0.030653182212750353,residential,"LINESTRING (76.9885362 11.0784717, 76.9870524 11.0782942)"
1829603301,1829603378,56.212589230754745,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9885362 11.0784717, 76.9885995 11.07797)"
1829603301,12760154365,107.43645678627833,2.0,0.0,1.8615654870102138,0.01861565487010214,residential,"LINESTRING (76.9885362 11.0784717, 76.9894813 11.0785848, 76.9895135 11.0785887)"
1829603338,1829603374,208.34939206675193,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9906305 11.0771132, 76.9887387 11.0768601)"
1829603338,1829603404,90.17627055930791,0.0,3.0,-3.3268175556527746,0.033268175556527745,residential,"LINESTRING (76.9906305 11.0771132, 76.9907339 11.0763086)"
1829603338,1829603288,124.27652225034431,2.0,0.0,1.609314425432,0.01609314425432,residential,"LINESTRING (76.9906305 11.0771132, 76.9904984 11.0782233)"
1829603369,1829603474,73.63709292933093,0.0,2.0,-2.7160224832875843,0.02716022483287584,residential,"LINESTRING (76.988837 11.0760638, 76.9881685 11.0759735)"
1829603369,1829603374,89.19203842589758,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.988837 11.0760638, 76.9887387 11.0768601)"
1829603369,1829603404,208.7813912190192,0.0,3.0,-1.4369096701979975,0.014369096701979975,residential,"LINESTRING (76.988837 11.0760638, 76.9895266 11.0761571, 76.9907339 11.0763086)"
1829603374,1829603338,208.34939206675193,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9887387 11.0768601, 76.9906305 11.0771132)"
1829603374,1829603369,89.19203842589758,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9887387 11.0768601, 76.988837 11.0760638)"
1829603374,1829603421,33.266880475078416,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9887387 11.0768601, 76.988702 11.0771571)"
1829603378,1829603288,209.11930963444888,0.0,1.9999999999999998,-0.9563918336838912,0.009563918336838912,residential,"LINESTRING (76.9885995 11.07797, 76.9904984 11.0782233)"
1829603378,1829603301,56.212589230754745,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9885995 11.07797, 76.9885362 11.0784717)"
1829603378,1829603421,91.07989252959578,0.0,4.0,-4.391748704249105,0.04391748704249105,residential,"LINESTRING (76.9885995 11.07797, 76.988702 11.0771571)"
1829603386,9847700639,11.850716522311304,0.0,1.0,-8.438308334498622,0.08438308334498622,residential,"LINESTRING (76.9867735 11.0805316, 76.9868821 11.0805319)"
1829603386,1829603400,250.64780103824907,1.0,0.0,0.3989661971330836,0.003989661971330836,residential,"LINESTRING (76.9867735 11.0805316, 76.986803 11.0802552, 76.9870524 11.0782942)"
1829603397,1829603474,123.81031553172099,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.988034 11.0770791, 76.9881685 11.0759735)"
1829603397,1829603421,73.40864178652134,1.9999999999999998,0.0,2.724474872885092,0.02724474872885092,residential,"LINESTRING (76.988034 11.0770791, 76.988702 11.0771571)"
1829603397,1829603291,89.52829481059203,3.0,0.0,3.350895944513256,0.03350895944513256,residential,"LINESTRING (76.988034 11.0770791, 76.9872193 11.0769841)"
1829603400,1829603291,146.81075002297135,0.0,8.0,-5.449192241541064,0.054491922415410635,residential,"LINESTRING (76.9870524 11.0782942, 76.9872193 11.0769841)"
1829603400,1829603301,163.11520172023847,0.0,5.0,-3.065318221275035,0.030653182212750353,residential,"LINESTRING (76.9870524 11.0782942, 76.9885362 11.0784717)"
1829603400,1829603386,250.64780103824907,0.0,1.0,-0.3989661971330836,0.003989661971330836,residential,"LINESTRING (76.9870524 11.0782942, 76.986803 11.0802552, 76.9867735 11.0805316)"
1829603404,1829603486,80.1158377083876,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9907339 11.0763086, 76.9907095 11.0755885)"
1829603404,1829603338,90.17627055930791,3.0,0.0,3.3268175556527746,0.033268175556527745,residential,"LINESTRING (76.9907339 11.0763086, 76.9906305 11.0771132)"
1829603404,1829603369,208.7813912190192,3.0,0.0,1.4369096701979975,0.014369096701979975,residential,"LINESTRING (76.9907339 11.0763086, 76.9895266 11.0761571, 76.988837 11.0760638)"
1829603421,1829603374,33.266880475078416,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.988702 11.0771571, 76.9887387 11.0768601)"
1829603421,1829603397,73.40864178652134,0.0,1.9999999999999998,-2.724474872885092,0.02724474872885092,residential,"LINESTRING (76.988702 11.0771571, 76.988034 11.0770791)"
1829603421,1829603378,91.07989252959578,4.0,0.0,4.391748704249105,0.04391748704249105,residential,"LINESTRING (76.988702 11.0771571, 76.9885995 11.07797)"
1829603459,1829603484,91.65203480961081,0.0,-0.0,0.0,0.0,path,"LINESTRING (76.989483 11.0795501, 76.9903171 11.0796468)"
1829603459,12760154366,63.59479894366102,0.0,-0.0,0.0,0.0,footway,"LINESTRING (76.989483 11.0795501, 76.9894834 11.0795429, 76.989478 11.0795137, 76.9894518 11.0794784, 76.9894928 11.0794643, 76.9895307 11.0794456, 76.9895555 11.0794197, 76.9895725 11.0793983, 76.9895907 11.0793541, 76.989598 11.0793084, 76.9895951 11.0792812, 76.9895899 11.0792554, 76.9895649 11.0792169, 76.9895509 11.0791969, 76.9895292 11.0791814, 76.9894823 11.0791549, 76.9894362 11.0791405)"
1829603459,12760154366,91.24271098993778,0.0,-0.0,0.0,0.0,footway,"LINESTRING (76.989483 11.0795501, 76.9894768 11.0795789, 76.9894582 11.0796078, 76.9894288 11.0796254, 76.9893947 11.0796324, 76.9893643 11.0796259, 76.9893353 11.0796073, 76.9893193 11.0795839, 76.9893134 11.0795575, 76.9893233 11.0795183, 76.9893594 11.0794686, 76.9893367 11.0794565, 76.9893124 11.0794368, 76.9892723 11.0793802, 76.9892614 11.0793375, 76.9892574 11.079291, 76.9892683 11.0792509, 76.9892885 11.07921, 76.9893057 11.0791979, 76.989323 11.0791813, 76.9893552 11.0791595, 76.9893945 11.0791466, 76.9894362 11.0791405)"
1829603474,1829603480,88.71866434776962,2.0,0.0,2.2543170760102633,0.022543170760102635,residential,"LINESTRING (76.9881685 11.0759735, 76.9873631 11.0758646)"
1829603474,1829603369,73.63709292933093,2.0,0.0,2.7160224832875843,0.02716022483287584,residential,"LINESTRING (76.9881685 11.0759735, 76.988837 11.0760638)"
1829603474,1829603397,123.81031553172099,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9881685 11.0759735, 76.988034 11.0770791)"
1829603480,1829603474,88.71866434776962,0.0,2.0,-2.2543170760102633,0.022543170760102635,residential,"LINESTRING (76.9873631 11.0758646, 76.9881685 11.0759735)"
1829603480,9239461445,20.836413728219537,0.0,1.0,-4.799290381941603,0.04799290381941603,residential,"LINESTRING (76.9873631 11.0758646, 76.9873871 11.0756787)"
1829603480,1829603291,125.4680790736929,1.0,0.0,0.7970154698970534,0.007970154698970534,residential,"LINESTRING (76.9873631 11.0758646, 76.9872697 11.0765885, 76.9872193 11.0769841)"
1829603484,1829603459,91.65203480961081,0.0,-0.0,0.0,0.0,path,"LINESTRING (76.9903171 11.0796468, 76.989483 11.0795501)"
